Cycle 1
Day,Percent Rated Power
180.0,100.0
181.0,1.129601
182.0,52.31041
183.0,100.0
184.0,100.0
185.0,100.0
186.0,100.0
187.0,100.0
188.0,100.0
189.0,98.37404
190.0,89.69978
191.0,89.60547
192.0,89.58149
193.0,96.70304
194.0,100.0
195.0,100.0
196.0,100.0
197.0,100.0
198.0,3.976114
199.0,13.40937
200.0,42.87169
201.0,3.728791
202.0,53.61765
203.0,100.0
204.0,100.0
205.0,100.0
206.0,100.0
207.0,100.0
208.0,100.0
209.0,98.82697
210.0,97.99691
211.0,94.94839
212.0,69.84204
213.0,97.17027
214.0,96.23226
215.0,96.76216
216.0,94.28584
217.0,94.10001
218.0,94.07471
219.0,90.81166
220.0,100.0
221.0,95.80616
222.0,94.67184
223.0,93.86022
224.0,93.74527
225.0,93.8454
226.0,93.98118
227.0,94.29606
228.0,94.23485
229.0,94.04937
230.0,93.95251
231.0,94.2846
232.0,94.27705
233.0,94.27705
234.0,94.03657
235.0,93.90402
236.0,98.9791
237.0,100.0
238.0,100.0
239.0,100.0
240.0,100.0
241.0,100.0
242.0,98.81778
243.0,100.0
244.0,100.0
245.0,100.0
246.0,100.0
247.0,100.0
248.0,100.0
249.0,100.0
250.0,100.0
251.0,100.0
252.0,100.0
253.0,100.0
254.0,100.0
255.0,100.0
256.0,100.0
257.0,100.0
258.0,100.0
259.0,98.78414
260.0,100.0
261.0,100.0
262.0,100.0
263.0,97.85418
264.0,98.37626
265.0,96.94633
266.0,96.94795
267.0,98.6559
268.0,100.0
269.0,100.0
270.0,100.0
271.0,100.0
272.0,94.90714
273.0,0.0
274.0,1.452518
275.0,38.46955
276.0,95.68646
277.0,100.0
278.0,100.0
279.0,100.0
280.0,92.6701
281.0,0.0
293.0,0.0
294.0,0.0
295.0,0.0
296.0,0.0
297.0,0.0
298.0,0.2956047
299.0,0.0
300.0,0.0
301.0,0.0
302.0,0.0
303.0,0.0
304.0,0.0
305.0,0.0
306.0,0.2171623
307.0,0.2155666
308.0,0.3187694
309.0,0.0
310.0,3.73967
311.0,44.04789
312.0,60.67588
313.0,10.27652
314.0,49.60738
315.0,44.51148
316.0,44.56067
317.0,44.64021
318.0,52.38763
319.0,65.35759
320.0,69.99208
321.0,63.58377
322.0,63.76304
323.0,69.50335
324.0,63.39916
325.0,82.67466
326.0,95.47998
327.0,100.0
328.0,95.82939
329.0,62.96666
330.0,61.83559
331.0,48.94417
332.0,49.11927
333.0,53.71113
334.0,65.02349
335.0,64.82464
336.0,70.7858
337.0,98.8334
338.0,100.0
339.0,84.31317
340.0,63.39652
341.0,63.50915
342.0,86.33076
343.0,50.97948
344.0,0.0
345.0,9.830309
346.0,87.27898
347.0,90.12903
348.0,60.50211
349.0,95.08251
350.0,98.80385
351.0,100.0
352.0,100.0
353.0,89.31088
354.0,97.57434
355.0,98.55468
356.0,100.0
357.0,100.0
358.0,98.11169
359.0,100.0
360.0,100.0
361.0,100.0
362.0,96.67578
363.0,97.90964
364.0,87.08882
365.0,86.84571
366.0,100.0
367.0,100.0
368.0,100.0
369.0,100.0
370.0,96.71779
371.0,81.41105
372.0,67.32294
373.0,57.28767
374.0,0.3227999
375.0,0.3327006
376.0,26.86367
377.0,81.08949
378.0,96.10172
379.0,98.2148
380.0,100.0
381.0,100.0
382.0,83.04613
383.0,4.580597
384.0,79.64319
385.0,74.34974
386.0,61.61818
387.0,88.12382
388.0,88.46412
389.0,66.25931
390.0,100.0
391.0,100.0
392.0,98.16981
393.0,100.0
394.0,100.0
395.0,100.0
396.0,100.0
397.0,100.0
398.0,100.0
399.0,98.63324
400.0,100.0
401.0,100.0
402.0,100.0
403.0,100.0
404.0,100.0
405.0,100.0
406.0,100.0
407.0,100.0
408.0,100.0
409.0,100.0
410.0,98.87892
411.0,100.0
412.0,100.0
413.0,100.0
414.0,100.0
415.0,100.0
416.0,100.0
417.0,100.0
418.0,100.0
419.0,100.0
420.0,100.0
421.0,100.0
422.0,60.5432
423.0,0.3918996
424.0,0.0
425.0,3.494577
426.0,43.93417
427.0,97.20214
428.0,100.0
429.0,100.0
430.0,84.31916
431.0,48.11786
432.0,92.29239
433.0,100.0
434.0,80.78107
435.0,23.55258
436.0,63.34274
437.0,100.0
438.0,100.0
439.0,100.0
440.0,100.0
441.0,100.0
442.0,100.0
443.0,100.0
444.0,100.0
445.0,100.0
446.0,100.0
447.0,100.0
448.0,98.54513
449.0,100.0
450.0,100.0
451.0,100.0
452.0,100.0
453.0,100.0
454.0,100.0
455.0,100.0
456.0,100.0
457.0,100.0
458.0,100.0
459.0,100.0
460.0,100.0
461.0,100.0
462.0,100.0
463.0,54.25467
464.0,7.305957
465.0,50.61584
466.0,97.55055
467.0,100.0
468.0,100.0
469.0,98.41926
470.0,98.90977
471.0,100.0
472.0,100.0
473.0,100.0
474.0,100.0
475.0,100.0
476.0,98.58791
477.0,100.0
478.0,100.0
479.0,100.0
480.0,100.0
481.0,100.0
482.0,100.0
483.0,100.0
484.0,100.0
485.0,100.0
486.0,100.0
487.0,100.0
488.0,24.88892
489.0,0.6542093
490.0,10.04775
491.0,24.08373
492.0,24.91627
493.0,89.66171
494.0,100.0
495.0,100.0
496.0,100.0
497.0,100.0
498.0,100.0
499.0,100.0
500.0,100.0
501.0,100.0
502.0,100.0
503.0,100.0
504.0,100.0
505.0,100.0
506.0,100.0
509.0,100.0
510.0,72.23968
511.0,0.0
512.0,0.0
513.0,0.0
514.0,0.2515826
515.0,6.078875
516.0,56.49043
517.0,28.24441
518.0,32.17878
519.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.0
540.0,0.0
541.0,0.0
542.0,0.0
543.0,0.8671991
544.0,37.92946
545.0,79.81525
546.0,84.06801
547.0,84.50128
548.0,84.41559
549.0,84.65971
550.0,84.38561
551.0,84.4881
552.0,84.30832
553.0,17.87034
554.0,83.14645
555.0,84.85286
556.0,85.14437
557.0,85.15329
558.0,85.16191
559.0,85.40618
560.0,85.27318
561.0,85.5179
562.0,85.85686
563.0,85.72363
564.0,84.97802
565.0,75.64923
566.0,70.0
567.0,70.0
573.0,69.93722
574.0,5.705946
575.0,0.0

101,cooling days

Cycle 2
Day,Percent Rated Power
0.0,0.3322934
1.005,0.6002522
1.741273148148148,1.020478
1.801064814814815,2.815032
2.200462962962963,2.798289
2.4233796296296295,6.358911
2.653726851851852,3.793821
3.181377314814815,5.9002
3.6810416666666668,19.70354
3.794375,17.10122
4.240509259259259,29.63161
4.619178240740741,29.67921
4.928032407407407,47.51554
6.47730324074074,47.54441
6.477997685185185,43.43833
7.060833333333333,43.33148
7.086319444444444,33.68729
7.3337615740740745,45.39517
8.22875,45.52843
9.094988425925926,80.68957
10.56855324074074,80.68285
10.632303240740741,73.54923
11.430983796296296,73.61349
11.710046296296296,87.63618
11.841493055555556,87.74676
12.041493055555556,92.3298
13.052314814814816,92.3298
14.027662037037038,90.62116
15.04380787037037,98.53121
16.037974537037037,95.64079
17.056273148148147,100.0
26.980497685185185,100.0
35.041493055555556,100.0
40.03400462962963,100.0
42.00853009259259,65.0
43.041493055555556,65.0
44.210034722222225,64.95698
44.309317129629626,76.3916
44.35287037037037,84.23226
44.5884375,88.73965
44.71590277777778,96.16854
44.850208333333335,100.0
44.9984375,100.0
50.17028935185185,100.0
51.665925925925926,100.0
53.16677083333333,100.0
53.1853125,90.55439
53.23042824074074,63.14451
53.26957175925926,34.91441
53.30707175925926,17.10748
53.30776620370371,0.0
56.84234953703704,0.0
56.87875,5.723586
57.08234953703704,9.773155
57.27631944444445,14.90865
57.35704861111111,23.11052
57.52568287037037,23.22795
57.5434375,25.51973
58.32300925925926,25.62553
58.38601851851852,31.58386
58.52112268518518,47.98809
58.618090277777775,62.89714
58.70884259259259,70.49562
58.80829861111111,82.14739
58.84539351851852,88.58877
59.00863425925926,88.56153
59.04204861111111,90.68413
59.24980324074074,100.0
64.75873842592593,100.0
68.68763888888888,100.0
68.70832175925926,92.79216
68.79153935185185,91.56007
68.85864583333333,96.14304
68.87195601851852,100.0
72.77989583333333,100.0
72.83002314814814,84.07596
72.88810185185186,71.89039
72.93413194444445,57.9196
72.96609953703704,33.62244
72.99398148148148,16.90144
72.99467592592593,0.0
73.75396990740741,0.0
73.8269675925926,11.69813
74.04149305555555,0.0
74.496875,0.0
74.54804398148148,10.30299
74.72086805555556,28.96431
74.86605324074074,29.01595
75.00118055555555,49.99966
75.1465162037037,49.95348
75.31353009259259,89.91377
75.5119675925926,89.9664
75.63113425925926,100.0
77.85376157407407,100.0
84.11980324074074,100.0
89.28175925925926,100.0
94.19675925925925,100.0
99.40229166666667,100.0
102.04149305555555,100.0
102.44648148148148,100.0
102.57280092592593,91.00192
102.65826388888888,100.0
106.45099537037036,100.0
106.70357638888889,0.0
115.67652777777778,0.0
115.76709490740741,9.816241
116.5541550925926,9.8395
116.87896990740741,44.73031
117.0881712962963,44.7077
117.08886574074074,0.0
117.62204861111111,0.0
117.66498842592593,9.817479
117.92400462962964,9.794904
117.93616898148149,16.80033
118.22010416666667,16.80051
118.52936342592592,49.758
118.53427083333334,2.084798
118.6553587962963,6.906785
118.90443287037037,6.952437
119.76922453703703,95.63517
120.31221064814815,95.70376
120.36822916666667,100.0
126.26612268518518,100.0
126.47278935185186,59.8619
126.7367824074074,59.81658
127.02825231481482,100.0
133.04149305555555,100.0
138.6790162037037,100.0
138.71849537037036,93.45613
138.87456018518517,100.0
140.95530092592594,100.0
141.05555555555554,95.00734
141.18349537037037,100.0
141.46052083333333,100.0
141.4753587962963,0.0
142.0729861111111,0.0
142.22908564814816,24.18682
142.34994212962962,26.37299
142.7741435185185,80.25005
142.94773148148147,97.53981
143.17592592592592,97.56374
143.17662037037036,100.0
150.8864236111111,100.0
150.9973263888889,85.69177
151.13859953703704,85.71639
151.16756944444444,88.67521
152.13462962962964,88.69334
152.23671296296297,77.9885
152.3688310185185,89.66927
153.0533912037037,89.71535
153.2116898148148,100.0
156.04149305555555,100.0
163.04149305555555,100.0
171.57989583333332,100.0
171.72530092592592,89.65528
171.94090277777778,100.0
172.36956018518518,100.0
177.54274305555555,100.0
177.5480787037037,97.62999
177.663125,97.63098
177.71730324074073,100.0
178.34825231481483,100.0
183.6125462962963,100.0
183.94597222222222,100.0
184.18209490740742,0.0
186.44028935185185,0.0
186.78241898148147,13.62282
186.96105324074074,13.65119
187.00658564814816,20.38789
187.7358449074074,20.40756
188.0596064814815,48.45937
188.1802662037037,48.43915
188.3778935185185,88.14105
188.77613425925927,94.01243
189.06436342592593,100.0
189.68712962962962,100.0
194.04149305555555,100.0
203.2116435185185,100.0
203.3837384259259,91.25633
203.55417824074075,100.0
211.57182870370372,100.0
211.57907407407407,81.73868
211.9077199074074,100.0
215.96493055555555,100.0
216.1110185185185,87.1519
216.38493055555554,100.0
220.04149305555555,100.0
224.04149305555555,100.0
225.03916666666666,100.0
228.57802083333334,100.0
229.01082175925927,100.0
230.01833333333335,62.0229
230.98462962962964,0.0
231.98916666666668,7.136216
233.00230324074073,50.71614
234.0103125,72.45381
234.95251157407407,7.768374
235.89175925925926,0.0
236.99217592592592,0.0
237.99216435185184,30.05593
239.04271990740742,98.97724
239.91399305555555,100.0
242.01402777777778,100.0
242.81755787037036,98.48392
243.29309027777776,98.44884
244.04486111111112,100.0
244.99796296296296,87.40558
246.0270138888889,98.7099
246.90802083333332,100.0
249.2060763888889,100.0
255.04149305555555,100.0
260.37570601851854,100.0
260.39006944444446,97.98115
260.46625,100.0
263.1817361111111,100.0
263.23815972222224,89.91016
263.3678125,100.0
276.7196990740741,100.0
277.07046296296295,0.0
279.7169212962963,0.0
279.72760416666665,2.974822
279.83327546296294,2.952264
279.8382638888889,5.887105
280.11394675925925,5.925418
280.30880787037034,48.90077
280.4817939814815,48.90791
280.71699074074075,84.59587
281.16936342592595,92.68516
281.3135185185185,92.69112
281.4512731481482,100.0
286.0414930555556,100.0
287.43172453703704,100.0
287.4465625,81.91552
287.5886574074074,100.0
296.0414930555556,100.0
298.0952199074074,100.0
298.09591435185183,97.97546
298.2141203703704,100.0
316.0414930555556,100.0
317.0478240740741,100.0
317.98733796296295,85.58674
318.9971412037037,0.0
